ID,Reviewer,Rating,Review Time,Review Content,Owner Response
170,Lucie Fontaine,4,2022-07-06,Bel endroit. Plus facile d'y accéder en métro,Merci Lucie !
171,Chantal Lantin,5,2017-07-07,Très belle salle de spectacles. Excellente idée d'avoir transformé cette ancienne église en lieu de rassemblement pour promouvoir la culture. Bravo !,None
172,vivbeate,5,2018-07-07,Excellent endroit pour un mariage ou pour un spectacle. Ils ont été à l'écoute de nos besoins et ont proposé un aménagement qui nous convient parfaitement. Service personalisé.,None
173,Yoann Viau,5,2022-07-06,Belle salle avec service au table en commandant par le code QR sur la table. Service rapide.,Merci  Yoann!
174,marcandre ld,5,2022-07-06,"J'adore cette endroit très belle salle de spectacle
Très bon service",None
175,Gerald Gagnon,5,2022-07-06,C était très bien organisé tout dans les règles sanitaire et une belle salle,None
176,Sophie Ladouceur,5,2022-09-09,"Trooop beau, et le système pour commander est genial.",None
177,Maxime Ostiguy,5,2016-07-07,"Je n'ai été voir qu'un seul spectacle, mais des mon arrivée le souffle ma coupé. Spacieux et le son est probablement le meilleur que j'ai entendu!",None
178,pierre bolduc,3,2022-07-06,Les toilettes sont difficilement  accessibles pour les personnes à mobilité réduite,"Bonjour Pierre,

Merci pour votre avis ! Parlez vous de nos toilettes pour personnes à mobilité réduite ou des escaliers pour y accéder ? S’il s’agit des escaliers, le personnel présent lors de nos événement peuvent vous aider à y accéder par un autre moyen, via le monte charge du Théâtre.
Pour la prochaine fois n’hésitez pas à demander de l’aide au gérant de salle !

Au plaisir de vous accueillir lors d’un autre spectacle !"
179,Christophe Mazerat,5,2020-07-06,"Quel bel endroit. Nous avons assisté à l enregistrement de Y a du monde à la messe, et le cadre amène une ambiance magique.",None
180,Benoît Renaud,5,2022-07-06,"Super d'endroit pour des événements, thé Roll the Bones était hot en Cr!!#&&",None
181,Louis Filiatrault,5,2022-12-08,"Belle salle, bon service",None
182,Patrick Bournival,4,2018-07-07,"Très bel endroit , les rénovations pour l'émission ont rendu l'endroit vraiment bien ... Le quartier c'est autre chose...",None
183,Véronik D'Auteuil,5,2020-07-06,Un endroit idéal pour des événements - un accès facile au métro ou à la voiture. Le son est incroyable là-bas.,None
184,Claude Vincent,4,2019-07-07,Belle salle de spectacle dans une eglise emménager avec des tables. Il y a aussi un petit bar.,None
185,Michel Angell,5,2019-07-07,Un endroit extraordinaire...ça fait du bien de se rassembler dans ce lieu culte!!..très belle organisation... un PLUS pour la société,None
186,louise charron,3,2020-07-06,Les chaises était attaché tellement serrée que l'ont pouvais même pas bougé il y a beau vouloir mettre une grosse quantité de personnes assis mais il y a des limites vraiment très déplaisant 'désolé ',None
187,Leprof Bureautique,5,2018-07-07,Superbe lieu. Acoustique incroyable. Ce soir un bon spectacle du groupe Quartom. Bel accueil.,None
188,Olivier Dagenais Vézina,5,2022-12-08,Magnifique salle de spectacle!!,None
189,Pichette Robert Jr,5,2022-07-06,Très cool endroit pour ce week-end roll and bone...,None
190,Kanuck Istan,5,2018-07-07,Très belle salle de spectacles. Excellente idée d'avoir transformé cette ancienne église en lieu de rassemblement pour promouvoir la culture.,None
191,Mart Mart,4,2019-07-07,J'adore l'idée d'avoir donnner un second souffle a cet église et c'est tres beau !👍,None
192,Joel Bibeau,5,2017-07-07,"Super belle salle, jy ai célébrer mon mariage et c'était super!",None
193,Richard Sabeh,3,2017-07-07,"Très belle salle, mais lorsque j'y suis allé pour un concert la sono laissait à désiré",None
194,Sylvie Houle,5,2022-07-06,Très  beau  spectacle  la  distanciation  était  très bien  respecter,None
195,Guy Giasson,5,2019-07-07,C'est une belle église transformée avec réussite en salle de spectacle.,None
196,Aracely Valdez,4,2018-07-07,Excellente place pour des réunions avec un grand nombre d'invités! Bon service.,None
197,Nycolas Prévost,5,2017-07-07,Un environement impressionnant qui réutilise bien la structure de l'église pour enrichir la culture dans le quartier,None
198,Marjorie COURTAIN,4,2020-07-06,"Une feria dans un église avec un show génial et bien enchaîné , bon retour en France du sud ouest avec une ambiance bien franchouillarde",None
199,Robit Ben,4,2020-07-06,Ancient live at La Messe Des Morts.,None
200,Hughes Perreault,4,2017-07-07,"Pour un spectacle de GY!BE, il y avait une ambiance vraiment extraordinaire! Le son est plutôt bon.",None
201,Géraldine C,5,2017-07-07,"Une place de spectacles qui favorise l'intégration des jeunes en difficulté.  On s'y amuse pour la bonne cause, quoi de mieux?",None
